Equipment Serial Number Library,,,,,
"Generated March 25, 2026 | AgIQ Serial Decoder Pipeline",,,,,
,,,,,
KEY METRICS,,,,,
Total Serial Number Records,,"40,102",,,
Verification Rate,,100%,,,
Equipment Makes,,58,,,
Equipment Models,,5397,,,
Unique Make/Model Combinations,,"6,571",,,
Year Coverage,,1928 – 2026,,,
Source Documents,,2 PDFs (168 pages),,,
Records Rejected (quality filter),,222,,,
,,,,,
METHODOLOGY,,,,,
1. Extraction,Dual-model extraction using Claude Opus 4 and Gemini 2.5 Pro on all 168 PDF pages,,,,
2. Cross-validation,Compared outputs — Gemini designated as authority based on 100% accuracy on 25-record spot check,,,,
3. Verification Round 1,Re-ran Gemini on 91 pages with Claude-only sections (94% confirmed),,,,
4. Verification Round 2,Chunked re-verification on 14 dense pages via Gemini (89.6% confirmed),,,,
5. Verification Round 3,"Final pass on remaining 8,216 records via Gemini Flash on OpenRouter (97.8% confirmed)",,,,
6. Normalization,Consolidated 68 make variants to 53 canonical makes with standardized key format,,,,
,,,,,
VERIFICATION SOURCES,,,,,
Source,Records,% of Total,,,
Gemini 2.5 Pro (original extraction),29903,74.6%,,,
Claude confirmed by Gemini Flash (OpenRouter),8033,20.0%,,,
Claude confirmed by Gemini Pro (round 2),1334,3.3%,,,
Claude confirmed by Gemini Pro (round 1),832,2.1%,,,
,,,,,
RECORDS BY CATEGORY,,,,,
Category,Records,% of Total,,,
Tractors,21710,54.1%,,,
Combines,6136,15.3%,,,
Balers,3565,8.9%,,,
Skid Loaders,2153,5.4%,,,
Mower Conditioner,1735,4.3%,,,
Forage,1106,2.8%,,,
Windrowers,1021,2.5%,,,
Sprayers,902,2.2%,,,
Header Combine,389,1.0%,,,
Cotton,360,0.9%,,,
Track Loaders,250,0.6%,,,
Uncategorized,235,0.6%,,,
Baler/Round,215,0.5%,,,
Forage Harvester,188,0.5%,,,
Case IH,80,0.2%,,,
Pickup,31,0.1%,,,
Massey Ferguson,23,0.1%,,,
Baler/Square,3,0.0%,,,
